Date,State,TotalSamples,Negative,Positive
2020-02-17,Kerala,423,406.0,3
2020-02-18,Kerala,425,420.0,3
2020-02-19,Kerala,432,423.0,3
2020-02-20,Kerala,433,423.0,3
2020-02-21,Kerala,437,426.0,3
2020-02-22,Kerala,441,436.0,3
2020-02-23,Kerala,444,436.0,3
2020-02-24,Kerala,449,441.0,3
2020-02-25,Kerala,451,446.0,3
2020-02-26,Kerala,460,451.0,3
2020-02-27,Kerala,462,451.0,3
2020-02-28,Kerala,471,463.0,3
2020-02-29,Kerala,485,471.0,3
2020-03-01,Kerala,488,471.0,3
2020-03-01,Tamil Nadu,49,49.0,0
2020-03-02,Kerala,504,493.0,3
2020-03-02,Tamil Nadu,50,50.0,0
2020-03-03,Kerala,520,494.0,3
2020-03-03,Tamil Nadu,50,50.0,0
2020-03-04,Kerala,552,511.0,3
2020-03-04,Tamil Nadu,54,54.0,0
2020-03-05,Kerala,574,535.0,3
2020-03-05,Tamil Nadu,54,54.0,0
2020-03-06,Kerala,631,579.0,3
2020-03-06,Tamil Nadu,56,54.0,0
2020-03-07,Kerala,682,616.0,3
2020-03-07,Tamil Nadu,60,56.0,1
2020-03-08,Kerala,729,664.0,8
2020-03-08,Tamil Nadu,68,59.0,1
2020-03-09,Kerala,807,717.0,9
2020-03-09,Tamil Nadu,72,69.0,1
2020-03-10,Kerala,980,815.0,17
2020-03-10,Tamil Nadu,74,69.0,1
2020-03-11,Kerala,1179,889.0,17
2020-03-11,Tamil Nadu,75,73.0,1
2020-03-12,Kerala,1377,953.0,19
2020-03-12,Tamil Nadu,76,73.0,1
2020-03-13,Karnataka,639,540.0,6
2020-03-13,Kerala,1715,1132.0,22
2020-03-13,Tamil Nadu,77,76.0,1
2020-03-14,Karnataka,731,590.0,6
2020-03-14,Kerala,1897,1345.0,22
2020-03-14,Tamil Nadu,79,76.0,1
2020-03-15,Karnataka,862,609.0,6
2020-03-15,Kerala,2147,1514.0,24
2020-03-15,Tamil Nadu,88,85.0,1
2020-03-16,Karnataka,895,695.0,7
2020-03-16,Kerala,2297,1693.0,27
2020-03-16,Tamil Nadu,98,95.0,1
2020-03-17,Karnataka,943,766.0,11
2020-03-17,Kerala,2467,1807.0,27
2020-03-17,Tamil Nadu,140,138.0,1
2020-03-18,Karnataka,1068,869.0,14
2020-03-18,Kerala,2550,2140.0,27
2020-03-18,Tamil Nadu,222,166.0,2
2020-03-19,Karnataka,1143,915.0,15
2020-03-19,Kerala,2921,2342.0,28
2020-03-19,Tamil Nadu,320,232.0,3
2020-03-20,Karnataka,1207,970.0,15
2020-03-20,Kerala,3436,2393.0,40
2020-03-20,Tamil Nadu,333,303.0,3
2020-03-21,Karnataka,1377,996.0,20
2020-03-21,Kerala,3716,2566.0,52
2020-03-21,Tamil Nadu,412,339.0,6
2020-03-22,Karnataka,1387,1108.0,26
2020-03-22,Kerala,4035,2744.0,67
2020-03-22,Tamil Nadu,443,359.0,7
2020-03-23,Karnataka,1477,1153.0,33
2020-03-23,Kerala,4291,2987.0,95
2020-03-23,Tamil Nadu,552,503.0,9
2020-03-24,Karnataka,1637,1196.0,41
2020-03-24,Kerala,4516,3331.0,109
2020-03-24,Tamil Nadu,743,608.0,15
2020-03-25,Karnataka,2438,2242.0,51
2020-03-25,Kerala,4902,3465.0,118
2020-03-25,Tamil Nadu,890,757.0,23
2020-03-26,Karnataka,2731,2432.0,55
2020-03-26,Kerala,5342,3768.0,137
2020-03-26,Tamil Nadu,1039,933.0,26
2020-03-27,Karnataka,2838,2563.0,64
2020-03-27,Kerala,5679,4448.0,176
2020-03-27,Tamil Nadu,1243,1157.0,38
2020-03-28,Delhi,1787,1297.0,49
2020-03-28,Karnataka,3076,2763.0,76
2020-03-28,Kerala,6067,5276.0,182
2020-03-28,Tamil Nadu,1500,1393.0,42
2020-03-29,Delhi,2049,1608.0,72
2020-03-29,Karnataka,3170,2874.0,83
2020-03-29,Kerala,6690,5518.0,202
2020-03-29,Tamil Nadu,1763,1682.0,50
2020-03-30,Delhi,2168,1749.0,97
2020-03-30,Karnataka,3243,3025.0,88
2020-03-30,Kerala,6991,6034.0,234
2020-03-30,Tamil Nadu,2040,1853.0,67
2020-03-31,Delhi,2315,1929.0,120
2020-03-31,Karnataka,3535,3297.0,101
2020-03-31,Kerala,7485,6381.0,241
2020-03-31,Tamil Nadu,2354,,124
2020-04-01,Andhra Pradesh,1313,1226.0,87
2020-04-01,Delhi,2621,2299.0,152
2020-04-01,Karnataka,3799,3479.0,110
2020-04-01,Kerala,7965,7256.0,265
2020-04-01,Madhya Pradesh,1328,745.0,86
2020-04-01,Odisha,610,606.0,4
2020-04-01,Punjab,1260,1149.0,46
2020-04-01,Tamil Nadu,2726,,234
2020-04-02,Andhra Pradesh,1800,1175.0,132
2020-04-02,Chandigarh,124,98.0,18
2020-04-02,Delhi,3120,2452.0,293
2020-04-02,Karnataka,4181,3910.0,124
2020-04-02,Kerala,8456,7622.0,286
2020-04-02,Madhya Pradesh,1455,1086.0,107
2020-04-02,Odisha,900,895.0,5
2020-04-02,Punjab,1434,1236.0,47
2020-04-02,Tamil Nadu,3272,2559.0,309
2020-04-03,Delhi,3273,2578.0,399
2020-04-03,Jammu and Kashmir,1218,,75
2020-04-03,Karnataka,4587,4281.0,128
2020-04-03,Kerala,9139,8126.0,295
2020-04-03,Madhya Pradesh,2093,1455.0,154
2020-04-03,Odisha,1113,1107.0,6
2020-04-03,Punjab,1585,1381.0,53
2020-04-03,Tamil Nadu,3684,2789.0,411
2020-04-04,Delhi,3694,2954.0,445
2020-04-04,Jammu and Kashmir,1397,1250.0,92
2020-04-04,Karnataka,5061,4566.0,144
2020-04-04,Kerala,9744,8586.0,306
2020-04-04,Madhya Pradesh,2424,1757.0,179
2020-04-04,Maharashtra,14503,13717.0,635
2020-04-04,Odisha,1395,1375.0,20
2020-04-04,Punjab,1824,1520.0,65
2020-04-04,Tamil Nadu,4248,3356.0,485
2020-04-05,Delhi,6567,5398.0,502
2020-04-05,Gujarat,2568,2418.0,128
2020-04-05,Jammu and Kashmir,1551,1429.0,106
2020-04-05,Karnataka,5543,5037.0,151
2020-04-05,Kerala,10221,9300.0,314
2020-04-05,Madhya Pradesh,2812,1954.0,193
2020-04-05,Maharashtra,16008,14837.0,748
2020-04-05,Odisha,1699,1676.0,23
2020-04-05,Punjab,2208,1711.0,68
2020-04-05,Rajasthan,12279,11439.0,260
2020-04-05,Tamil Nadu,4612,3702.0,571
2020-04-06,Delhi,8464,6711.0,525
2020-04-06,Gujarat,2879,2701.0,146
2020-04-06,Jammu and Kashmir,1708,1583.0,109
2020-04-06,Karnataka,5958,5503.0,163
2020-04-06,Kerala,10716,9607.0,327
2020-04-06,Madhya Pradesh,3323,2530.0,256
2020-04-06,Maharashtra,17563,15808.0,868
2020-04-06,Odisha,1888,1849.0,39
2020-04-06,Punjab,2384,1994.0,79
2020-04-06,Tamil Nadu,5015,4099.0,621
2020-04-07,Delhi,9041,7308.0,576
2020-04-07,Gujarat,3552,3257.0,175
2020-04-07,Jammu and Kashmir,1900,1763.0,125
2020-04-07,Karnataka,6580,5942.0,175
2020-04-07,Kerala,11232,10250.0,336
2020-04-07,Madhya Pradesh,3770,3125.0,290
2020-04-07,Maharashtra,20877,19290.0,1018
2020-04-07,Odisha,2210,2168.0,42
2020-04-07,Punjab,2559,2204.0,99
2020-04-07,Tamil Nadu,5305,4414.0,690
2020-04-08,Chandigarh,184,162.0,18
2020-04-08,Delhi,9332,7897.0,588
2020-04-08,Gujarat,4224,3905.0,186
2020-04-08,Jammu and Kashmir,2269,2116.0,139
2020-04-08,Karnataka,6967,6473.0,181
2020-04-08,Kerala,11986,10906.0,345
2020-04-08,Madhya Pradesh,4056,3442.0,341
2020-04-08,Maharashtra,27090,25753.0,1135
2020-04-08,Odisha,2441,2399.0,42
2020-04-08,Punjab,2937,2614.0,106
2020-04-08,Rajasthan,17638,16401.0,363
2020-04-08,Tamil Nadu,6095,4893.0,738
2020-04-09,Andhra Pradesh,5960,5597.0,363
2020-04-09,Chandigarh,199,169.0,18
2020-04-09,Delhi,9968,8643.0,720
2020-04-09,Gujarat,6199,5579.0,262
2020-04-09,Jammu and Kashmir,2649,2465.0,184
2020-04-09,Karnataka,7613,7176.0,197
2020-04-09,Kerala,12710,11469.0,357
2020-04-09,Madhya Pradesh,5135,3989.0,411
2020-04-09,Odisha,2841,2797.0,44
2020-04-09,Punjab,3192,2777.0,130
2020-04-09,Rajasthan,19107,17851.0,430
2020-04-09,Tamil Nadu,7267,5948.0,834
2020-04-10,Andhra Pradesh,6374,5993.0,381
2020-04-10,Chandigarh,223,199.0,19
2020-04-10,Delhi,11061,9662.0,903
2020-04-10,Gujarat,7718,7237.0,378
2020-04-10,Jammu and Kashmir,2961,2754.0,207
2020-04-10,Karnataka,7975,7673.0,207
2020-04-10,Kerala,13339,12335.0,364
2020-04-10,Madhya Pradesh,7049,4840.0,451
2020-04-10,Maharashtra,30000,28865.0,1135
2020-04-10,Odisha,3249,3201.0,48
2020-04-10,Punjab,3461,2972.0,151
2020-04-10,Rajasthan,22324,20673.0,520
2020-04-10,Tamil Nadu,8410,6838.0,911
2020-04-11,Maharashtra,31841,30477.0,1364
